x Predicted Exact
0.0 0.0002480819821357727 0.0
0.010101010101010102 0.004478201270103455 0.005101520253035405
0.020202020202020204 0.009033672511577606 0.010305070911131519
0.030303030303030304 0.013927176594734192 0.015610651974288339
0.04040404040404041 0.019145995378494263 0.021018263442505868
0.05050505050505051 0.024652421474456787 0.026527905315784108
0.06060606060606061 0.030394434928894043 0.03213957759412305
0.07070707070707072 0.03631649166345596 0.03785328027752271
0.08080808080808081 0.04236752912402153 0.04366901336598307
0.09090909090909091 0.048505738377571106 0.049586776859504134
0.10101010101010102 0.05470067635178566 0.055606570758085914
0.11111111111111112 0.060939379036426544 0.0617283950617284
0.12121212121212122 0.06723406165838242 0.06795224977043159
0.13131313131313133 0.07360249757766724 0.0742781348841955
0.14141414141414144 0.08005870133638382 0.08070605040302012
0.15151515151515152 0.0866101086139679 0.08723599632690542
0.16161616161616163 0.09325816482305527 0.09386797265585145
0.17171717171717174 0.10000164806842804 0.1006019793898582
0.18181818181818182 0.10684120655059814 0.10743801652892562
0.19191919191919193 0.11378347873687744 0.11437608407305377
0.20202020202020204 0.12084348499774933 0.12141618202224265
0.21212121212121213 0.12803688645362854 0.1285583103764922
0.22222222222222224 0.13536621630191803 0.1358024691358025
0.23232323232323235 0.14282698929309845 0.14314865830017348
0.24242424242424243 0.15040822327136993 0.15059687786960516
0.25252525252525254 0.15809378027915955 0.15814712784409757
0.26262626262626265 0.16586631536483765 0.16579940822365066
0.27272727272727276 0.1737118512392044 0.1735537190082645
0.2828282828282829 0.18162408471107483 0.18141006019793904
0.29292929292929293 0.18960689008235931 0.1893684317926742
0.30303030303030304 0.19767336547374725 0.19742883379247017
0.31313131313131315 0.20584048330783844 0.20559126619732682
0.32323232323232326 0.21411895751953125 0.21385572900724417
0.33333333333333337 0.22251254320144653 0.22222222222222227
0.3434343434343435 0.23102135956287384 0.23069074584226104
0.3535353535353536 0.2396443486213684 0.23926129986736053
0.36363636363636365 0.24838097393512726 0.24793388429752067
0.37373737373737376 0.2572324275970459 0.2567084991327416
0.38383838383838387 0.26620227098464966 0.26558514437302316
0.393939393939394 0.27529630064964294 0.2745638200183655
0.4040404040404041 0.2845205068588257 0.28364452606876855
0.4141414141414142 0.29386502504348755 0.2928272625242323
0.42424242424242425 0.3032993674278259 0.3021120293847567
0.43434343434343436 0.3127933442592621 0.31149882665034184
0.4444444444444445 0.3223249912261963 0.3209876543209877
0.4545454545454546 0.3318878412246704 0.3305785123966942
0.4646464646464647 0.34149640798568726 0.34027140087746155
0.4747474747474748 0.35118740797042847 0.3500663197632895
0.48484848484848486 0.36101484298706055 0.3599632690541782
0.494949494949495 0.37103748321533203 0.36996224875012756
0.5050505050505051 0.3812975287437439 0.3800632588511377
0.5151515151515152 0.391772985458374 0.3902662993572086
0.5252525252525253 0.4023820757865906 0.40057137026834
0.5353535353535354 0.413038432598114 0.41097847158453216
0.5454545454545455 0.4236786961555481 0.42148760330578516
0.5555555555555556 0.43427854776382446 0.4320987654320988
0.5656565656565657 0.44485747814178467 0.4428119579634732
0.5757575757575758 0.45547419786453247 0.4536271808999082
0.5858585858585859 0.46621131896972656 0.4645444342414039
0.595959595959596 0.47715550661087036 0.4755637179879605
0.6060606060606061 0.48837149143218994 0.4866850321395776
0.6161616161616162 0.49984806776046753 0.49790837669625554
0.6262626262626263 0.5115117430686951 0.5092337516579941
0.6363636363636365 0.523278534412384 0.5206611570247935
0.6464646464646465 0.5350751280784607 0.5321905927966535
0.6565656565656566 0.5468541979789734 0.5438220589735742
0.6666666666666667 0.5586012601852417 0.5555555555555556
0.6767676767676768 0.5703367590904236 0.5673910825425977
0.686868686868687 0.5821111798286438 0.5793286399347006
0.696969696969697 0.5939939618110657 0.5913682277318641
0.7070707070707072 0.6060552597045898 0.6035098459340885
0.7171717171717172 0.6183150410652161 0.6157534945413734
0.7272727272727273 0.6307500600814819 0.628099173553719
0.7373737373737375 0.6433233618736267 0.6405468829711255
0.7474747474747475 0.6559984683990479 0.6530966227935926
0.7575757575757577 0.6687498688697815 0.6657483930211204
0.7676767676767677 0.6815707683563232 0.6785021936537089
0.7777777777777778 0.6944763660430908 0.691358024691358
0.787878787878788 0.7075011730194092 0.704315886134068
0.797979797979798 0.7206898331642151 0.7173757779818386
0.8080808080808082 0.7340737581253052 0.73053770023467
0.8181818181818182 0.7476067543029785 0.7438016528925621
0.8282828282828284 0.7612075805664062 0.7571676359555148
0.8383838383838385 0.7748048901557922 0.7706356494235282
0.8484848484848485 0.7883549928665161 0.7842056932966024
0.8585858585858587 0.8018528819084167 0.7978777675747374
0.8686868686868687 0.8153380155563354 0.8116518722579329
0.8787878787878789 0.8288920521736145 0.8255280073461893
0.888888888888889 0.8426291942596436 0.8395061728395062
0.8989898989898991 0.8566783666610718 0.8535863687378841
0.9090909090909092 0.8711357712745667 0.8677685950413224
0.9191919191919192 0.8859521150588989 0.8820528517498215
0.9292929292929294 0.9010171890258789 0.8964391388633814
0.9393939393939394 0.9161953330039978 0.9109274563820019
0.9494949494949496 0.9313194751739502 0.9255178043056833
0.9595959595959597 0.9461925029754639 0.9402101826344251
0.9696969696969697 0.9606006145477295 0.9550045913682278
0.9797979797979799 0.974339485168457 0.9699010305070912
0.98989898989899 0.9872503876686096 0.9848995000510152
1.0 0.9992515444755554 1.0
