Step L2_Error H1_Error
0 0.796706587534301 1.5515638589859009
10 0.47487749584996436 0.9773482084274292
20 0.3122255947263677 1.1475375890731812
30 0.284837880102333 1.3410171270370483
40 0.3248383085593141 1.1958919763565063
50 0.25357325260039865 0.9396387934684753
60 0.23214141886113515 0.7867738604545593
70 0.23528705816878068 0.7105163931846619
80 0.2119232545580521 0.6555803418159485
90 0.19281462704984742 0.5837866067886353
100 0.17447731422662444 0.5085529088973999
110 0.1519901052645248 0.44553595781326294
120 0.13527277728955994 0.3905375003814697
130 0.11819880024590097 0.3396729826927185
140 0.10188898640513105 0.29266220331192017
150 0.08780694721460156 0.25083088874816895
160 0.07475910268605414 0.21412019431591034
170 0.0634816928907358 0.18163086473941803
180 0.05339828376344942 0.1532226800918579
190 0.04464360008176415 0.1287883073091507
200 0.037040593352645215 0.10806261748075485
210 0.03044907908959474 0.09079655259847641
220 0.02479888066867919 0.0768178179860115
230 0.019965391349316696 0.06594611704349518
240 0.015873111078460303 0.057944752275943756
250 0.012424489605425639 0.05250443145632744
260 0.009557665223488804 0.04920109733939171
270 0.007208967918520973 0.04753120243549347
280 0.005342783377747021 0.04698996618390083
290 0.003946970240716393 0.047148287296295166
300 0.0030458320315224483 0.04768679291009903
310 0.0028839259425565335 0.04787740111351013
320 0.002769086306870021 0.04806574434041977
330 0.0026904381400148624 0.04825639724731445
340 0.0026434326659460403 0.048450592905282974
350 0.002624806689342705 0.04864783212542534
360 0.0026313878556564257 0.04884696751832962
370 0.0026597065193384763 0.049046751111745834
380 0.0027060646483368085 0.04924604669213295
390 0.00276693992116399 0.049443602561950684
400 0.002838929274886374 0.04963855817914009
410 0.0029190937330661943 0.04982960596680641
420 0.0030048800844647257 0.050016552209854126
430 0.0030940980060935263 0.05019819736480713
440 0.003185070014416475 0.05037440359592438
450 0.003276385695417239 0.05054469779133797
460 0.0033668672106329173 0.0507085807621479
470 0.0034556364063427192 0.05086594820022583
480 0.003542124952506974 0.051016345620155334
490 0.0036257416029047435 0.051159802824258804
500 0.0037060642527860553 0.051296211779117584
510 0.0037828794406273387 0.05142569541931152
520 0.003856079428295992 0.05154846981167793
530 0.00392565589186792 0.05166403204202652
540 0.003991432318068036 0.051773205399513245
550 0.0040535003442494005 0.05187579244375229
560 0.004111899614343262 0.051972296088933945
570 0.004166695664341527 0.05206247791647911
580 0.004217917298364863 0.05214669927954674
590 0.004265807744404225 0.0522250160574913
600 0.004310411687136979 0.05229802057147026
610 0.004322734425749042 0.05231840908527374
620 0.004334570368518585 0.05233774334192276
630 0.004346170659511567 0.05235672742128372
640 0.004357605011850572 0.05237538367509842
650 0.004368842996037057 0.05239378288388252
660 0.004379912799220084 0.052411697804927826
670 0.004390827012281478 0.05242965742945671
680 0.0044015442028810395 0.052447061985731125
690 0.0044121136306400546 0.05246419832110405
700 0.004422477208818114 0.05248119309544563
710 0.004432711324583531 0.05249778926372528
720 0.0044427615290224855 0.05251407250761986
730 0.004452627500914585 0.05253011733293533
740 0.004462326093842645 0.052545804530382156
750 0.004471826030369641 0.05256122350692749
760 0.004481154257730218 0.0525762140750885
770 0.0044903110693493556 0.052591193467378616
780 0.004499270962636809 0.05260566622018814
790 0.004508070893072431 0.05261988192796707
800 0.004516670677530741 0.05263378843665123
810 0.004525130611096338 0.05264733359217644
820 0.004533387815350755 0.05266077071428299
830 0.004541445507990652 0.05267380550503731
840 0.004549359563221223 0.05268660560250282
850 0.0045570817487225615 0.05269908532500267
860 0.004564603678486712 0.05271126702427864
870 0.004571994042640576 0.05272312089800835
880 0.00457923386638658 0.05273475870490074
890 0.0045862816576268655 0.05274610593914986
900 0.0045931665848801505 0.052757151424884796
910 0.004595107551600596 0.05276012793183327
920 0.004597007678618283 0.05276329442858696
930 0.004598911191575853 0.05276636779308319
940 0.004600801598621018 0.05276932194828987
950 0.004602710172778451 0.0527723990380764
960 0.00460461587292675 0.052775248885154724
970 0.004606508670869315 0.052778325974941254
980 0.0046084175302502734 0.05278121307492256
990 0.004610304795813853 0.05278431251645088
1000 0.0046121748421334595 0.052787236869335175
1010 0.004614040351139432 0.05279017612338066
1020 0.0046159268288998336 0.05279318243265152
1030 0.004617798752445735 0.052796199917793274
1040 0.004619699360745381 0.05279926955699921
1050 0.004621587679111282 0.052802253514528275
1060 0.004623467494293176 0.052805278450250626
1070 0.004625341644280605 0.052808236330747604
1080 0.004627209382229366 0.052811212837696075
1090 0.004629072034394203 0.05281415581703186
1100 0.004630942033415667 0.05281714349985123
1110 0.004632800926387055 0.05282008275389671
1120 0.004634629725550866 0.052822958678007126
1130 0.004636497294982142 0.05282589793205261
1140 0.004638316177614466 0.052828848361968994
1150 0.0046401305891206265 0.05283168703317642
1160 0.004641930579530841 0.05283447727560997
1170 0.004643716541139102 0.05283728986978531
1180 0.00464551345290085 0.052840132266283035
1190 0.0046473258049086405 0.052842918783426285
1200 0.0046491089437569666 0.05284566059708595
1210 0.004649622411919095 0.052846573293209076
1220 0.00465012701073627 0.052847471088171005
1230 0.004650637929220845 0.05284825712442398
1240 0.004651144667413445 0.05284910276532173
1250 0.0046516558490062535 0.052849967032670975
1260 0.004652165849903515 0.05285075306892395
